purpose,default_rate,exposure
car,14.644855180228028,124796525
credit_card,17.027874613241494,4231167125
debt_consolidation,21.258695106981165,11532783950
educational,17.177914110429448,2215600
home_improvement,17.85507177769625,1195837550
house,21.71666427443663,107039850
major_purchase,18.723524428127647,335252200
medical,21.91160809371672,135208175
moving,23.44925324321378,72018275
other,21.173785980223386,736339250
renewable_energy,23.71020856201976,9120725
small_business,29.746835443037973,234310425
vacation,19.23957856161246,54080775
wedding,12.162162162162163,24167650
