year,component,attributed_sales
2018,Baseline,201572.83216368043
2019,Baseline,201572.83216368043
2020,Baseline,201572.83216368043
2021,Baseline,170561.6272154219
2018,TikTok,134244.95842256738
2019,TikTok,65722.40078348415
2020,TikTok,131596.6552572568
2021,TikTok,94347.83318268032
2018,Facebook,105326.27714704
2019,Facebook,84050.40572253414
2020,Facebook,108743.52230505654
2021,Facebook,85070.1178566491
2018,Google Ads,124158.95749990473
2019,Google Ads,152769.41119231255
2020,Google Ads,129565.40951270275
2021,Google Ads,142752.22741134852
